"Unique_ID","Name","CWE ID","CAPEC ID","Description","References"
,"Unclassified",,,"Place holder for temporary creation of findings",,
,"Insufficient Authentication",287,,,"WASC-1"
,"Insufficient Authorization",284,,,"WASC-2"
,"Integer Overflows",189,128,,"WASC-3"
,"Insufficient Transport Layer Protection","319, 523, 614",,,"WASC-4"
,"Remote File Inclusion",98,"193, 253",,"WASC-5"
,"Format String",134,67,,"WASC-6"
,"Buffer Overflow",119,"10, 100",,"WASC-7"
,"Cross-Site Scripting",79,"18,19,63",,"WASC-8"
,"Cross-Site Request Forgery",352,62,,"WASC-9"
,"Denial of Service",400,119,,"WASC-10"
,"Brute Force",,112,,"WASC-11"
,"Content Spoofing",,148,,"WASC-12"
,"Information Leakage",200,118,,"WASC-13"
,"Server Misconfiguration",3,,,"WASC-14"
,"Application Misconfiguration",16,,,"WASC-15"
,"Directory Indexing",548,127,,"WASC-16"
,"Improper Filesystem Permissions",280,17,,"WASC-17"
,"Credential/Session Prediction",330,59,,"WASC-18"
,"SQL Injection",89,66,,"WASC-19"
,"Improper Input Handling",20,,,"WASC-20"
,"Insufficient Anti-automation",,,,"WASC-21"
,"Improper Output Handling",116,,,"WASC-22"
,"XML Injection",91,250,,"WASC-23"
,"HTTP Request Splitting",,105,,"WASC-24"
,"HTTP Response Splitting",113,34,,"WASC-25"
,"HTTP Request Smuggling",444,33,,"WASC-26"
,"HTTP Response Smuggling",,273,,"WASC-27"
,"Null Byte Injection",,52,,"WASC-28"
,"LDAP Injection",90,136,,"WASC-29"
,"Mail Command Injection",,134,,"WASC-30"
,"OS Commanding",78,88,,"WASC-31"
,"Routing Detour",,219,,"WASC-32"
,"Path Traversal",22,126,,"WASC-33"
,"Predictable Resource Location",425,87,,"WASC-34"
,"SOAP Array Abuse",,256,,"WASC-35"
,"SSI Injection",97,101,,"WASC-36"
,"Session Fixation",384,61,,"WASC-37"
,"URL Redirector Abuse",601,,,"WASC-38"
,"XPath Injection",643,83,,"WASC-39"
,"Insufficient Process Validation",,,,"WASC-40"
,"XML Attribute Blowup",,229,,"WASC-41"
,"Abuse of Functionality",,210,,"WASC-42"
,"XML External Entities",611,221,,"WASC-43"
,"XML Entity Expansion",776,197,,"WASC-44"
,"Fingerprinting",205,224,,"WASC-45"
,"XQuery Injection",652,84,,"WASC-46"
,"Insufficient Session Expiration",613,60,,"WASC-47"
,"Insecure Indexing",612,,,"WASC-48"
,"Insufficient Password Recovery",640,50,,"WASC-49"